graph_section,components,num_nodes,num_edges,num_edge_types,mean_component_diameter,mean_component_distance,density,mean_component_connectivity,mean_degree,median_degree,max_degree,stdev_degree,skewness_degree,kurtosis_degree
full graph,2931.0,7527.0,4752.0,11.0,1.3551688843398157,1.1314880777461995,7.6260143261034126e-06,1.0232002729443876,1.2626544440015943,1.0,28.0,0.9521382845476813,11.541355130960577,213.43128912672404
full graph,4166.0,17620.0,14250.0,11.0,1.8490158425348056,1.3169848406246942,4.1728715802900115e-06,1.0343254920787326,1.6174801362088536,1.0,85.0,1.9577810663184332,17.450276890447704,502.1200335046782
full graph,4055.0,13157.0,9494.0,11.0,1.6392108508014795,1.2380170204599104,4.98627013135138e-06,1.0254007398273737,1.4431861366572927,1.0,56.0,1.4817370554397296,14.965698948867004,363.897403744906
full graph,3232.0,24346.0,23739.0,11.0,1.7475247524752475,1.274971671338501,3.6410977536552714e-06,1.052289603960396,1.9501355458802268,1.0,134.0,2.809071752454354,20.419238026762976,673.9891877669122
full graph,3747.0,21269.0,19003.0,11.0,1.8331998932479316,1.307753194797203,3.81905365811026e-06,1.0394982652788898,1.7869199304151582,1.0,113.0,2.4288098068096793,19.736280242464577,629.261633525925
full graph,2194.0,29206.0,33250.0,11.0,1.6185050136736554,1.227725065001039,3.5438038288414033e-06,1.0624430264357339,2.27692939806889,2.0,180.0,3.6142877458820055,22.025087980776732,778.7489367605557
full graph,2664.0,26897.0,28481.0,11.0,1.6516516516516517,1.2392786249489633,3.579076733850944e-06,1.0566816816816818,2.1177826523404097,1.0,155.0,3.2123705044136344,21.056507234991084,711.3925156796172
full graph,1421.0,32656.0,42755.0,11.0,1.5052779732582688,1.1833294290762686,3.6448658624913567e-06,1.079521463757917,2.6185080842724155,2.0,238.0,4.433788623361182,23.73163708924458,908.2938173890012
full graph,1762.0,31073.0,38028.0,11.0,1.5527809307604994,1.2024823252060381,3.5806214318506705e-06,1.0737797956867197,2.447655520870209,2.0,208.0,4.040063865807034,23.134037401234895,858.6032926685681
full graph,873.0,35261.0,52234.0,11.0,1.5005727376861397,1.1822555926801803,3.8192990680850315e-06,1.1042382588774342,2.9627066730949205,2.0,292.0,5.202395098203276,24.657667419283705,986.4543612648856
full graph,1119.0,34067.0,47534.0,11.0,1.519213583556747,1.1892899219774542,3.723545319912352e-06,1.096514745308311,2.790618487098952,2.0,271.0,4.826594976825447,24.182501842749737,944.5094127531037
full graph,495.0,37238.0,61726.0,11.0,1.511111111111111,1.1880759503467202,4.046824932115049e-06,1.105050505050505,3.315215639937698,2.0,349.0,6.003400576921943,25.161389950798775,1022.5530557528448
full graph,669.0,36274.0,57019.0,11.0,1.500747384155456,1.181107450904435,3.939562426006135e-06,1.1136023916292974,3.143794453327452,2.0,325.0,5.588906023946629,24.649329312770373,987.3512219432279
full graph,265.0,38698.0,71244.0,11.0,1.441509433962264,1.1617722908148636,4.325036650688034e-06,1.1056603773584905,3.6820507519768464,2.0,403.0,6.779521291916624,25.415390771475117,1041.1208091577028
full graph,370.0,38029.0,66516.0,11.0,1.4864864864864864,1.1815060719165447,4.181335818754144e-06,1.1054054054054054,3.4981724473428173,2.0,371.0,6.405054348900298,25.11032617556459,1007.5018953273794
full graph,112.0,39796.0,80733.0,11.0,1.4732142857142858,1.180923645943885,4.6343675501456705e-06,1.1607142857142858,4.0573424464770325,3.0,458.0,7.566419709496147,25.956205064299176,1087.832295612201
full graph,185.0,39284.0,76019.0,11.0,1.4594594594594594,1.1714834863872827,4.478258076537528e-06,1.1567567567567567,3.8702270644537218,3.0,431.0,7.179035484881849,25.730442426646857,1063.9100521577607
