graph_section,components,num_nodes,num_edges,num_edge_types,mean_component_diameter,mean_component_distance,density,mean_component_connectivity,mean_degree,median_degree,max_degree,stdev_degree,skewness_degree,kurtosis_degree
full graph,328.0,9692.0,15808.0,237.0,1.1920731707317074,1.0040508981596645,7.10144261869739e-07,1.1097560975609757,3.2620718118035494,2.0,423.0,7.799001608101086,26.805501993406722,1106.3273674516104
full graph,79.0,12857.0,47509.0,237.0,1.0253164556962024,0.8505838086442417,1.2127800255675768e-06,1.2658227848101267,7.390371004122268,4.0,1301.0,20.62201395568762,31.328371882055013,1516.1899753460627
full graph,131.0,11934.0,31686.0,237.0,1.1297709923664123,0.9455087553874083,9.388223017571641e-07,1.1755725190839694,5.310206133735545,3.0,850.0,14.191924713488037,29.42594455479396,1339.0897966524483
full graph,32.0,13651.0,79182.0,237.0,1.0,0.7903911416765458,1.7930029456054814e-06,1.4375,11.600908358362025,7.0,2182.0,33.48150518665294,32.34943045407768,1616.8700502362378
full graph,52.0,13351.0,63340.0,237.0,1.0192307692307692,0.8591250843695588,1.4994591939065274e-06,1.3076923076923077,9.488427833121115,6.0,1760.0,27.16635387515618,32.22231428730526,1604.8373388439663
full graph,20.0,13992.0,110823.0,237.0,1.15,0.7909884329691682,2.388652664734305e-06,1.5,15.840909090909092,10.0,3122.0,46.624049802494056,33.49063815787777,1734.791290069827
full graph,24.0,13857.0,94976.0,237.0,1.0833333333333333,0.7899330407921318,2.087172948341006e-06,1.4166666666666667,13.708017608428953,8.0,2653.0,40.007476243701284,33.046688943824044,1691.3666139980646
full graph,12.0,14185.0,142524.0,237.0,1.6666666666666667,0.9957880895518123,2.9889014366378603e-06,1.3333333333333333,20.095029961226647,12.0,4016.0,59.631276790228725,33.744986368873455,1757.4391492926484
full graph,18.0,14108.0,126724.0,237.0,1.1111111111111112,0.7058946758287846,2.6866457718827616e-06,1.4444444444444444,17.964842642472355,11.0,3584.0,53.277209525828134,33.825091104480784,1761.6392100681162
full graph,9.0,14298.0,174184.0,237.0,1.7777777777777777,1.0505954847131482,3.5953378237579443e-06,1.2222222222222223,24.364806266610714,15.0,4892.0,72.52510100853578,33.92711662401289,1769.1780512187224
