acquired_abnormality	location_of	experimental_model_of_disease
mental_or_behavioral_dysfunction	affects	experimental_model_of_disease
population_group	interacts_with	age_group
carbohydrate	interacts_with	vitamin
mental_or_behavioral_dysfunction	result_of	anatomical_abnormality
cell	produces	amino_acid_peptide_or_protein
cell_or_molecular_dysfunction	process_of	mental_process
mental_process	affects	archaeon
disease_or_syndrome	manifestation_of	pathologic_function
mental_or_behavioral_dysfunction	produces	immunologic_factor
cell	location_of	bacterium
neoplastic_process	result_of	natural_phenomenon_or_process
mental_or_behavioral_dysfunction	affects	fungus
therapeutic_or_preventive_procedure	prevents	disease_or_syndrome
immunologic_factor	indicates	bacterium
pharmacologic_substance	treats	sign_or_symptom
immunologic_factor	indicates	rickettsia_or_chlamydia
receptor	disrupts	body_part_organ_or_organ_component
eicosanoid	isa	entity
organism_attribute	isa	conceptual_entity
hormone	disrupts	body_part_organ_or_organ_component
finding	evaluation_of	pathologic_function
organism_attribute	manifestation_of	mental_process
tissue	part_of	animal
neoplastic_process	result_of	environmental_effect_of_humans
cell_or_molecular_dysfunction	result_of	mental_process
body_space_or_junction	location_of	physiologic_function
pathologic_function	process_of	amphibian
organism_function	affects	clinical_attribute
hormone	complicates	cell_function
pharmacologic_substance	prevents	neoplastic_process
genetic_function	process_of	natural_phenomenon_or_process
gene_or_genome	location_of	fungus
organ_or_tissue_function	affects	bacterium
neoplastic_process	complicates	acquired_abnormality
cell	location_of	cell_or_molecular_dysfunction
biologic_function	process_of	disease_or_syndrome
chemical_viewed_functionally	isa	substance
enzyme	complicates	anatomical_abnormality
congenital_abnormality	affects	archaeon
biologic_function	affects	vertebrate
cell_component	location_of	organism_function
immunologic_factor	affects	natural_phenomenon_or_process
element_ion_or_isotope	causes	experimental_model_of_disease
clinical_attribute	property_of	virus
mental_or_behavioral_dysfunction	associated_with	clinical_attribute
body_location_or_region	location_of	body_part_organ_or_organ_component
neoplastic_process	affects	animal
amino_acid_peptide_or_protein	affects	molecular_function
mental_or_behavioral_dysfunction	co-occurs_with	acquired_abnormality
neoplastic_process	process_of	rickettsia_or_chlamydia
cell_or_molecular_dysfunction	process_of	alga
health_care_related_organization	location_of	therapeutic_or_preventive_procedure
cell_or_molecular_dysfunction	occurs_in	neoplastic_process
cell	part_of	rickettsia_or_chlamydia
organism_function	affects	cell_function
disease_or_syndrome	co-occurs_with	experimental_model_of_disease
therapeutic_or_preventive_procedure	complicates	physiologic_function
professional_or_occupational_group	issue_in	occupation_or_discipline
disease_or_syndrome	isa	phenomenon_or_process
experimental_model_of_disease	manifestation_of	pathologic_function
population_group	produces	manufactured_object
organic_chemical	interacts_with	antibiotic
mental_process	affects	animal
diagnostic_procedure	assesses_effect_of	antibiotic
immunologic_factor	affects	disease_or_syndrome
phenomenon_or_process	result_of	mental_or_behavioral_dysfunction
physiologic_function	produces	enzyme
research_activity	measures	indicator_reagent_or_diagnostic_aid
plant	location_of	neuroreactive_substance_or_biogenic_amine
mammal	isa	physical_object
genetic_function	process_of	cell_or_molecular_dysfunction
immunologic_factor	affects	mental_or_behavioral_dysfunction
individual_behavior	isa	event
body_location_or_region	isa	spatial_concept
neuroreactive_substance_or_biogenic_amine	disrupts	gene_or_genome
immunologic_factor	affects	organ_or_tissue_function
mental_or_behavioral_dysfunction	issue_in	biomedical_occupation_or_discipline
research_activity	measures	receptor
geographic_area	associated_with	congenital_abnormality
antibiotic	complicates	mental_or_behavioral_dysfunction
pathologic_function	process_of	natural_phenomenon_or_process
body_part_organ_or_organ_component	part_of	animal
acquired_abnormality	manifestation_of	cell_or_molecular_dysfunction
cell_or_molecular_dysfunction	produces	body_substance
hazardous_or_poisonous_substance	affects	genetic_function
organism_function	process_of	rickettsia_or_chlamydia
chemical_viewed_structurally	interacts_with	enzyme
pharmacologic_substance	disrupts	molecular_function
mental_or_behavioral_dysfunction	affects	bird
receptor	complicates	anatomical_abnormality
chemical	affects	molecular_function
population_group	performs	individual_behavior
vitamin	complicates	organism_function
gene_or_genome	part_of	human
qualitative_concept	evaluation_of	occupational_activity
body_location_or_region	location_of	cell_or_molecular_dysfunction
enzyme	affects	genetic_function
anatomical_abnormality	manifestation_of	cell_or_molecular_dysfunction
disease_or_syndrome	manifestation_of	injury_or_poisoning
age_group	produces	manufactured_object
nucleic_acid_nucleoside_or_nucleotide	interacts_with	element_ion_or_isotope
organization	location_of	research_activity
sign_or_symptom	isa	entity
organophosphorus_compound	affects	mental_process
