6066555	_derivationally_related_form	645415
7193596	_derivationally_related_form	784342
10341660	_derivationally_related_form	2661252
10499355	_hypernym	10083823
12090318	_member_meronym	12093769
12213635	_member_meronym	12214245
10483138	_derivationally_related_form	968211
3631445	_derivationally_related_form	1521603
12219065	_hypernym	13112664
257269	_hypernym	230746
4216634	_derivationally_related_form	1460029
7306252	_derivationally_related_form	1810447
4337740	_derivationally_related_form	1410223
1781478	_derivationally_related_form	4826771
5034989	_synset_domain_topic_of	6037666
12493208	_has_part	12493426
12526178	_hypernym	12205694
10065066	_derivationally_related_form	6159473
2519183	_hypernym	2518161
12108742	_hypernym	11744859
845909	_derivationally_related_form	10009671
7439284	_derivationally_related_form	1901783
226566	_derivationally_related_form	374224
7762244	_hypernym	7705931
1024190	_derivationally_related_form	6333653
12191587	_hypernym	13109733
8929922	_member_of_domain_region	13753430
13624873	_hypernym	13616054
10640620	_derivationally_related_form	1428853
680485	_derivationally_related_form	6211078
10688356	_derivationally_related_form	6248968
9795124	_hypernym	9875786
6162979	_hypernym	5726596
1456463	_derivationally_related_form	3044934
13477023	_derivationally_related_form	545557
12545232	_hypernym	13118707
14323683	_derivationally_related_form	2121511
1146039	_hypernym	1145359
3813704	_synset_domain_topic_of	8199025
4060647	_derivationally_related_form	2107248
10512562	_derivationally_related_form	1098452
12834408	_member_meronym	12834671
12850718	_hypernym	11579418
268112	_hypernym	267522
7825972	_hypernym	7810907
3955296	_derivationally_related_form	1249490
1718867	_also_see	612114
1684899	_derivationally_related_form	936620
10056103	_derivationally_related_form	164816
7414922	_derivationally_related_form	2248465
82563	_synset_domain_topic_of	612160
7803545	_hypernym	7802417
634472	_derivationally_related_form	5651680
6488880	_hypernym	6481320
2461014	_member_meronym	2461128
2062212	_derivationally_related_form	290276
2469588	_hypernym	1342529
613973	_synset_domain_topic_of	6182144
1783571	_member_meronym	1783706
4792357	_derivationally_related_form	51045
15165289	_hypernym	15113229
10987358	_instance_hypernym	10043643
8806897	_member_meronym	9716933
1049266	_derivationally_related_form	2158896
6333653	_hypernym	6284225
455348	_derivationally_related_form	230276
628491	_derivationally_related_form	5786372
2444662	_derivationally_related_form	13994806
11873396	_hypernym	11575425
14720238	_hypernym	14716997
430140	_hypernym	747029
12145802	_hypernym	11556857
2116980	_hypernym	2116118
12508936	_hypernym	11585340
1014609	_hypernym	1013367
595146	_hypernym	586262
13651804	_hypernym	13603305
4063373	_derivationally_related_form	998399
2460483	_hypernym	2649830
94460	_derivationally_related_form	41899
3022406	_hypernym	14620895
3599761	_hypernym	4007894
5768806	_derivationally_related_form	1637633
594146	_derivationally_related_form	892861
833199	_hypernym	831651
10118382	_derivationally_related_form	605310
